X,data,volume,price,open,high,low,close,diff,times,result,K,D,J,rsi10,rsi5,macd,WR5,WR10,Prediction_Result,Prediction_Result_0or1
2912,110/11/04,3142300,2933243510,945.0,945.0,926.0,928.0,-4.0,2836,1,46.65634569,56.42317512,75.95683398,55.06758393,55.45572716,4.3618093,-21.05263158,-54.54545455,931.3093812375249,0
2913,110/11/05,3922770,3677044994,939.0,940.0,927.0,940.0,12.0,4519,1,51.10423046,54.65019357,61.74211978,59.34451116,64.75101952,5.10745848,0.0,-18.18181818,932.7405189620758,1
2914,110/11/08,10948581,10613395514,947.0,983.0,944.0,980.0,40.0,17597,0,65.97424888,58.42487867,43.32613825,69.86282383,80.7876206,6.463715775,0.0,0.0,958.556886227545,1
2915,110/11/09,7326160,7251540976,1000.0,1000.0,976.0,978.0,-2.0,10156,0,68.88704714,61.91226816,47.96271019,68.88265819,78.64094828,8.08495221,-3.846153846,-2.985074627,990.0179640718563,1
2916,110/11/10,3607273,3474161864,972.0,978.0,958.0,958.0,-20.0,6984,0,63.16607741,62.33020458,60.65845892,59.6733603,59.62790165,9.449768983,-42.30769231,-32.8358209,968.4570858283433,0
2917,110/11/11,3976455,3772947123,936.0,960.0,936.0,954.0,-4.0,5155,1,56.97015602,60.54352172,67.69025313,57.96833767,56.35775024,10.49696533,-65.0,-38.80597015,949.4151696606787,0
2918,110/11/12,4506624,4410740653,964.0,988.0,956.0,983.0,29.0,7089,1,64.31755257,61.80153201,56.76949088,65.76853856,70.45471845,11.72894094,0.0,0.0,966.9840319361277,1
2919,110/11/15,11863385,12113913220,1010.0,1035.0,1000.0,1025.0,42.0,19824,1,73.15359774,65.58555392,50.44946628,73.57963517,81.07736515,13.65550326,0.0,0.0,1043.379241516966,1
2920,110/11/16,5968762,6144548995,1025.0,1045.0,1010.0,1035.0,10.0,8160,0,79.30127805,70.15746196,51.86982979,75.06954559,82.84011591,16.04484599,0.0,0.0,1066.874251497006,1
2921,110/11/17,7313793,7639038614,1060.0,1075.0,1020.0,1030.0,-5.0,8746,1,76.0657169,72.12688027,64.24920703,72.81124124,78.45499903,18.4826557,-6.172839506,-4.672897196,1082.5828343313374,1
2922,110/11/18,13199272,14235901080,1060.0,1100.0,1050.0,1085.0,55.0,15124,1,80.99503078,75.08293044,63.25872977,80.06692513,87.31705532,21.65841672,0.0,0.0,1090.4091816367265,1
2923,110/11/19,10562661,11498116635,1115.0,1120.0,1060.0,1090.0,5.0,10365,0,81.89523791,77.3536996,68.27062297,80.58503932,87.86172539,25.16064086,0.0,0.0,1096.6746506986028,1
2924,110/11/22,5357065,5840128695,1100.0,1110.0,1080.0,1080.0,-10.0,5522,0,80.68378179,78.463727,74.0236174,76.22613088,79.65212503,28.46700303,-16.66666667,-7.352941176,1105.24750499002,1
2925,110/11/23,6209563,6604229951,1070.0,1090.0,1050.0,1055.0,-25.0,7474,0,75.34715888,77.42487096,81.58029511,66.35573677,62.21300011,31.01353528,-58.33333333,-25.73529412,1089.564870259481,0
2926,110/11/24,4303829,4467249200,1045.0,1060.0,1025.0,1040.0,-15.0,6877,0,67.30460998,74.05145063,87.54513193,61.13131433,53.74134361,32.64032508,-100.0,-36.76470588,1083.4690618762475,0
2927,110/11/25,3042360,3150355090,1045.0,1055.0,1020.0,1035.0,-5.0,4431,0,54.59196221,67.56495449,93.51093905,59.4160348,50.96532736,33.45119312,-100.0,-51.40186916,1084.7764471057885,1
2928,110/11/26,4570424,4593923765,1020.0,1025.0,996.0,1005.0,-30.0,8783,1,38.81399631,57.98130177,96.31591267,50.13211941,37.14898859,33.15327567,-100.0,-100.0,988.0319361277445,0
2929,110/11/29,3878731,3933345002,998.0,1030.0,991.0,1030.0,25.0,5937,0,35.95351692,50.63870682,80.00908661,56.37989792,50.55356611,32.49930765,-50.0,-70.58823529,1000.7704590818363,1
2930,110/11/30,8407302,8600026375,1050.0,1060.0,1010.0,1010.0,-20.0,6129,1,28.878572,43.38532855,72.39884163,50.78116156,41.96206673,31.2632953,-85.71428571,-94.11764706,1072.0778443113772,1
2931,110/12/01,6547926,6884259525,1020.0,1070.0,1010.0,1065.0,55.0,7857,1,38.37382836,41.71482849,48.39682873,62.15082338,62.81597641,30.53350015,0.0,-29.41176471,1063.6586826347304,0
2932,110/12/02,7194120,7706808715,1045.0,1085.0,1040.0,1080.0,15.0,7241,0,50.51252423,44.64739373,32.91713274,64.60380356,66.72850626,30.32897342,0.0,-11.76470588,1079.4071856287426,1
2933,110/12/03,4782312,5131333230,1080.0,1090.0,1055.0,1060.0,-20.0,5456,1,56.90733939,48.73404229,32.38744808,58.99601416,57.11330162,30.07618221,-28.57142857,-26.66666667,1090.688622754491,1
2934,110/12/06,4650774,4964134180,1060.0,1085.0,1040.0,1085.0,25.0,4749,0,69.58805791,55.68538083,27.88002666,63.36816359,64.73544041,30.13670218,0.0,0.0,1091.2295409181636,1
2935,110/12/07,6286966,6686549430,1060.0,1080.0,1050.0,1065.0,-20.0,5528,1,71.30786352,60.89287506,40.06289813,57.93225634,55.30021479,30.00265102,-80.0,-25.0,1089.6467065868264,0
2936,110/12/08,7553331,8258621655,1085.0,1110.0,1080.0,1095.0,30.0,8057,0,76.67022834,66.15199282,45.11552177,63.14831231,64.59004985,30.16392399,0.0,0.0,1083.818363273453,0
2937,110/12/09,3406357,3694621690,1095.0,1100.0,1075.0,1085.0,-10.0,3118,0,77.44401777,69.91600114,54.85996786,60.40220655,59.63272674,30.27355236,-28.57142857,-11.11111111,1099.1836327345309,1
2938,110/12/10,3190902,3427647240,1075.0,1085.0,1065.0,1075.0,-10.0,3086,0,73.29601185,71.04267137,66.53599043,57.64475438,54.60368961,30.11652029,-66.66666667,-23.52941176,1096.7604790419161,0
2939,110/12/13,3450664,3727203182,1070.0,1095.0,1070.0,1075.0,0.0,3128,0,70.53067457,70.87200577,71.55466818,57.64475438,54.60368961,29.73194087,-66.66666667,-23.52941176,1097.309381237525,1
2940,110/12/14,4197956,4460718232,1070.0,1075.0,1050.0,1070.0,-5.0,4462,0,61.306164,67.68339185,80.43784755,56.09544498,51.47794241,29.07736227,-100.0,-71.42857143,1090.2774451097805,0
2941,110/12/15,3025297,3198202205,1065.0,1075.0,1045.0,1060.0,-10.0,3773,1,50.39458552,61.92045641,84.97219817,52.96374786,45.25986208,28.06205016,-100.0,-100.0,1088.6167664670659,0
2942,110/12/16,3900955,4225763480,1085.0,1090.0,1075.0,1090.0,30.0,4787,0,57.40591416,60.41560899,66.43499865,60.28123307,61.849526,27.288535,0.0,-14.28571429,1093.441117764471,1
2943,110/12/17,5577386,6023588920,1075.0,1095.0,1070.0,1075.0,-15.0,3918,0,53.65522482,58.1621476,67.17599316,55.52986726,52.33336814,26.4056101,-50.0,-57.14285714,1091.6167664670659,0
2944,110/12/20,3333615,3542886278,1070.0,1075.0,1055.0,1055.0,-20.0,4037,1,40.89835501,52.40755007,75.42594019,49.77566844,41.99517503,25.12112163,-100.0,-100.0,1089.560878243513,0
2945,110/12/21,4476757,4870044535,1110.0,1110.0,1070.0,1090.0,35.0,4346,0,50.34249308,51.71919774,54.47260706,58.12807923,59.00268304,24.15342434,0.0,-12.5,1094.8722554890219,1
2946,110/12/22,1375244,1495307005,1095.0,1095.0,1080.0,1085.0,-5.0,2013,1,54.07448257,52.50429268,49.36391291,56.6476946,56.17888962,23.3001913,-14.28571429,-14.28571429,1093.0359281437127,0
2947,110/12/23,2771095,3032923170,1090.0,1105.0,1085.0,1095.0,10.0,3893,1,61.69068069,55.56642202,43.31790468,58.94779986,60.69365386,22.66986843,0.0,0.0,1095.491017964072,1
2948,110/12/24,5416247,6039143525,1100.0,1130.0,1095.0,1120.0,25.0,9223,1,70.53888516,60.55724307,40.59395887,64.17484537,69.97410215,22.55949509,0.0,0.0,1084.0978043912176,0
2949,110/12/27,8596153,9931937555,1125.0,1185.0,1120.0,1145.0,25.0,11891,1,70.83544725,63.98331113,50.27903888,68.57606549,76.60307583,23.12824473,0.0,0.0,1085.3592814371257,1
2950,110/12/28,5042669,5892194005,1160.0,1180.0,1155.0,1175.0,30.0,6293,1,77.99286227,68.65316151,49.97375999,72.96088239,82.2470332,24.51875924,0.0,0.0,1115.4890219560878,1
2951,110/12/29,5160937,6126791835,1180.0,1200.0,1170.0,1185.0,10.0,6737,1,81.88029898,73.06220733,55.42602403,74.276969,83.80928481,26.45510792,0.0,0.0,1118.6706586826347,0
